OC,TH_LAT,TH_LONG,SURVEY_DATE
8.5,37.28738541,-4.289494645,2018-05-01 00:00:00
13.8,53.56167711,22.58251064,2018-05-01 00:00:00
25.1,43.26900199,-8.350717522,2018-05-01 00:00:00
9.7,42.40408067,13.74271535,2018-05-01 00:00:00
15.5,42.56547535,-2.088855342,2018-05-01 00:00:00
25.0,42.47654386,13.21324504,2018-05-01 00:00:00
12.9,53.54239551,22.23919337,2018-05-01 00:00:00
10.8,52.3632872,18.96612819,2018-05-01 00:00:00
4.2,52.50358885,19.02449895,2018-05-01 00:00:00
10.0,52.14268457,19.24579655,2018-05-01 00:00:00
29.0,45.0806032,0.166603395,2018-05-01 00:00:00
36.7,35.12553617,25.58759822,2018-05-01 00:00:00
31.6,52.10934119,19.20939013,2018-05-01 00:00:00
36.0,41.1465402,16.11600579,2018-05-01 00:00:00
37.3,41.36098366,-8.674812639,2018-05-01 00:00:00
41.6,41.41779435,-8.667760969,2018-05-01 00:00:00
10.0,52.16954543,19.1333837,2018-05-01 00:00:00
16.6,41.29833581,-6.228033459,2018-05-01 00:00:00
21.9,52.35424822,18.84585162,2018-05-01 00:00:00
15.0,38.99058589,-4.072879229,2018-05-01 00:00:00
17.3,46.81900643,2.615309344,2018-05-01 00:00:00
56.5,44.93694246,0.779259079,2018-05-01 00:00:00
41.4,42.35026866,-0.256918485,2018-05-01 00:00:00
52.2,43.58109018,-5.855193219,2018-05-01 00:00:00
24.0,46.61537352,11.13468217,2018-05-01 00:00:00
11.2,43.82641843,4.525188452,2018-05-01 00:00:00
35.6,43.53966948,-5.767718288,2018-05-01 00:00:00
7.9,52.35885367,19.0244621,2018-05-01 00:00:00
6.7,39.35056243,-2.390848993,2018-05-01 00:00:00
18.5,38.9839085,-4.118219926,2018-05-01 00:00:00
8.4,39.97677661,-4.955999221,2018-05-01 00:00:00
20.4,37.42845165,21.67549216,2018-05-01 00:00:00
32.1,37.40776603,21.69468555,2018-05-01 00:00:00
10.1,41.02531404,-5.645728616,2018-05-02 00:00:00
8.9,39.25197413,-1.717958936,2018-05-02 00:00:00
319.2,47.89982439,13.43670696,2018-05-02 00:00:00
46.9,55.90629901,-4.020590928,2018-05-02 00:00:00
17.7,40.39924738,17.48035077,2018-05-02 00:00:00
20.3,40.39026911,17.5971501,2018-05-02 00:00:00
5.7,43.39551878,3.082711569,2018-05-02 00:00:00
33.7,47.99143155,17.41944185,2018-05-02 00:00:00
7.7,53.5633793,22.03054235,2018-05-02 00:00:00
53.7,55.85704417,-3.970122374,2018-05-02 00:00:00
18.8,56.50944732,22.98371065,2018-05-02 00:00:00
17.2,56.40747097,22.35552279,2018-05-02 00:00:00
21.6,51.28975275,0.725262422,2018-05-02 00:00:00
25.3,40.42609024,17.3656099,2018-05-02 00:00:00
10.7,39.13353765,-1.78994073,2018-05-02 00:00:00
30.3,42.08370133,13.6023499,2018-05-02 00:00:00
11.3,39.18437577,-1.822437988,2018-05-02 00:00:00
28.9,41.24276057,-8.023889996,2018-05-02 00:00:00
9.8,35.10817145,33.23743124,2018-05-02 00:00:00
14.9,42.56295593,26.25114628,2018-05-02 00:00:00
20.8,51.34605013,23.18644964,2018-05-02 00:00:00
7.1,39.111298,-5.31970175,2018-05-02 00:00:00
124.1,57.2945631,-4.03776544,2018-05-02 00:00:00
4.3,39.39821527,-2.446822192,2018-05-02 00:00:00
9.4,39.43685969,-2.430797138,2018-05-02 00:00:00
2.4,39.3922985,-2.49255761,2018-05-02 00:00:00
6.9,39.40411051,-2.401079574,2018-05-02 00:00:00
10.5,39.00023288,-0.581462147,2018-05-03 00:00:00
11.9,41.75097486,-0.421859813,2018-05-03 00:00:00
12.6,51.9204562,17.82262321,2018-05-03 00:00:00
79.1,43.50313774,-5.884158834,2018-05-03 00:00:00
5.0,51.88857914,17.75857701,2018-05-03 00:00:00
37.9,43.43277814,-5.864620407,2018-05-03 00:00:00
9.1,40.49121854,-8.677925269,2018-05-03 00:00:00
21.3,36.48291006,-5.412130126,2018-05-03 00:00:00
32.2,45.58064335,12.59785378,2018-05-03 00:00:00
21.6,56.46444017,23.06748579,2018-05-03 00:00:00
